Time [s],Value,Parity Error,Framing Error
2.566008000000000,R,,
2.568279000000000,0,,
2.569733000000000,0,,
2.570803000000000,6,,
2.571847000000000,\r,,
2.615018000000000,R,,
2.617288000000000,0,,
2.618742000000000,0,,
2.619812000000000,6,,
2.620856000000000,\r,,
2.664035000000000,R,,
2.666305000000000,0,,
2.667760000000000,0,,
2.668829000000000,6,,
2.669874000000000,\r,,
2.713046000000000,R,,
2.715316000000000,0,,
2.716770000000000,0,,
2.717840000000000,6,,
2.718884000000000,\r,,
2.762062000000000,R,,
2.764332000000000,0,,
2.765787000000000,0,,
2.766856000000000,6,,
2.767900000000000,\r,,
2.811080000000000,R,,
2.813351000000000,0,,
2.814805000000000,0,,
2.815875000000000,6,,
2.816919000000000,\r,,
2.860100000000000,R,,
2.862370000000000,0,,
2.863824000000000,0,,
2.864894000000000,6,,
2.865938000000000,\r,,
2.909145000000000,R,,
2.911415000000000,0,,
2.912870000000000,0,,
2.913939000000000,6,,
2.914984000000000,\r,,
2.958162000000000,R,,
2.960433000000000,0,,
2.961887000000000,0,,
2.962956000000000,6,,
2.964001000000000,\r,,
3.007177000000000,R,,
3.009447000000000,0,,
3.010902000000000,0,,
3.011971000000000,6,,
3.013016000000000,\r,,
3.056196000000000,R,,
3.058466000000000,0,,
3.059921000000000,0,,
3.060990000000000,6,,
3.062035000000000,\r,,
3.105213000000000,R,,
3.107483000000000,0,,
3.108937000000000,0,,
3.110006000000000,6,,
3.111051000000000,\r,,
3.154226000000000,R,,
3.156496000000000,0,,
3.157950000000000,0,,
3.159020000000000,6,,
3.160064000000000,\r,,
3.203240000000000,R,,
3.205510000000000,0,,
3.206965000000000,0,,
3.208034000000000,6,,
3.209078000000000,\r,,
3.252255000000000,R,,
3.254526000000000,0,,
3.255980000000000,0,,
3.257049000000000,6,,
3.258094000000000,\r,,
3.301266000000000,R,,
3.303536000000000,0,,
3.304991000000000,0,,
3.306060000000000,6,,
3.307104000000000,\r,,
3.350281000000000,R,,
3.352551000000000,0,,
3.354005000000000,0,,
3.355074000000000,6,,
3.356119000000000,\r,,
3.399297000000000,R,,
3.401567000000000,0,,
3.403022000000000,0,,
3.404091000000000,6,,
3.405135000000000,\r,,
3.448306000000000,R,,
3.450576000000000,0,,
3.452030000000000,0,,
3.453100000000000,6,,
3.454144000000000,\r,,
3.497323000000000,R,,
3.499593000000000,0,,
3.501048000000000,0,,
3.502117000000000,6,,
3.503162000000000,\r,,
3.546340000000000,R,,
3.548610000000000,0,,
3.550064000000000,0,,
3.551133000000000,6,,
3.552178000000000,\r,,
3.595353000000000,R,,
3.597623000000000,0,,
3.599077000000000,0,,
3.600147000000000,6,,
3.601191000000000,\r,,
3.644364000000000,R,,
3.646634000000000,0,,
3.648088000000000,0,,
3.649158000000000,6,,
3.650202000000000,\r,,
3.693374000000000,R,,
3.695644000000000,0,,
3.697098000000000,0,,
3.698167000000000,6,,
3.699212000000000,\r,,
3.742386000000000,R,,
3.744656000000000,0,,
3.746110000000000,0,,
3.747180000000000,6,,
3.748224000000000,\r,,
3.791398000000000,R,,
3.793668000000000,0,,
3.795122000000000,0,,
3.796191000000000,6,,
3.797236000000000,\r,,
3.840410000000000,R,,
3.842680000000000,0,,
3.844135000000000,0,,
3.845204000000000,6,,
3.846248000000000,\r,,
3.889425000000000,R,,
3.891695000000000,0,,
3.893149000000000,0,,
3.894219000000000,6,,
3.895263000000000,\r,,
