0.286	0.426	0.882	0.642
0.288	0.426	0.561	0.999
0.288	0.467	0.556	0.999
0.288	0.472	0.557	0.682
0.287	0.459	0.559	0.682
0.288	0.448	0.562	0.999
0.289	0.466	0.560	0.999
0.288	0.469	0.560	0.999
0.288	0.469	0.560	0.999
0.287	0.581	0.559	0.702
0.286	0.538	0.556	0.686
0.287	0.464	0.557	0.686
0.287	0.470	0.559	0.999
0.287	0.473	0.561	0.691
0.288	0.454	0.560	0.999
0.287	0.454	0.560	0.999
0.287	0.397	0.561	0.999
0.287	0.422	0.562	0.703
0.288	0.427	0.561	0.703
0.288	0.427	0.559	0.702
0.288	0.429	0.561	0.999
0.287	0.458	0.561	0.999
0.288	0.469	0.563	0.999
0.288	0.469	0.562	0.999
0.289	0.471	0.560	0.699
0.291	0.454	0.561	0.698
0.292	0.431	0.560	0.999
0.288	0.463	0.561	0.698
0.288	0.469	0.561	0.696
0.288	0.529	0.562	0.999
0.290	0.603	0.563	0.999
0.287	0.583	0.562	0.999
0.291	0.518	0.559	0.999
0.289	0.496	0.561	0.999
0.288	0.457	0.561	0.999
0.289	0.451	0.562	0.999
0.287	0.468	0.559	0.999
0.290	0.468	0.560	0.693
0.288	0.608	0.561	0.692
0.288	0.604	0.558	0.693
0.289	0.603	0.557	0.692
0.289	0.590	0.558	0.999
0.288	0.533	0.558	0.688
0.286	0.510	0.557	0.688
0.286	0.472	0.561	0.692
0.288	0.523	0.562	0.692
0.288	0.607	0.561	0.999
0.290	0.561	0.561	0.999
0.287	0.468	0.562	0.692
0.289	0.467	0.562	0.692
0.289	0.470	0.562	0.999
0.288	0.522	0.563	0.689
0.288	0.607	0.562	0.689
0.288	0.589	0.562	0.691
0.289	0.526	0.562	0.999
0.288	0.505	0.561	0.692
0.288	0.470	0.562	0.690
0.288	0.454	0.560	0.692
0.287	0.427	0.562	0.999
0.289	0.461	0.562	0.690
0.289	0.473	0.562	0.692
0.288	0.469	0.560	0.691
0.288	0.469	0.561	0.691
0.287	0.472	0.559	0.999
0.288	0.473	0.561	0.691
0.289	0.470	0.562	0.999
0.289	0.469	0.561	0.691
0.289	0.456	0.562	0.692
0.288	0.427	0.561	0.692
0.288	0.429	0.559	0.690
0.287	0.431	0.558	0.999
0.288	0.426	0.559	0.999
0.288	0.426	0.560	0.999
0.288	0.446	0.559	0.999
0.288	0.452	0.561	0.692
0.289	0.434	0.562	0.693
0.289	0.399	0.562	0.693
0.289	0.423	0.561	0.693
0.288	0.424	0.560	0.999
0.289	0.428	0.562	0.999
0.288	0.425	0.557	0.999
0.289	0.443	0.559	0.999
0.286	0.447	0.561	0.694
0.288	0.449	0.563	0.999
0.287	0.452	0.562	0.999
0.288	0.437	0.558	0.999
0.288	0.427	0.557	0.999
0.290	0.459	0.558	0.696
0.288	0.472	0.560	0.999
0.288	0.457	0.559	0.696
0.287	0.428	0.558	0.696
0.289	0.411	0.561	0.999
0.288	0.398	0.562	0.697
0.289	0.397	0.559	0.697
0.289	0.398	0.561	0.999
0.289	0.422	0.559	0.697
0.289	0.426	0.558	0.698
0.287	0.399	0.559	0.999
0.287	0.397	0.560	0.698
0.288	0.430	0.560	0.698
0.288	0.448	0.562	0.999
0.288	0.465	0.562	0.999
0.289	0.469	0.562	0.999
0.288	0.452	0.562	0.999
0.288	0.428	0.562	0.699
0.287	0.427	0.563	0.699
0.287	0.426	0.561	0.999
0.288	0.426	0.559	0.999
0.289	0.425	0.560	0.999
0.288	0.444	0.561	0.699
0.289	0.448	0.561	0.699
0.289	0.434	0.561	0.701
0.289	0.427	0.562	0.701
0.289	0.427	0.562	0.699
0.288	0.426	0.562	0.699
0.287	0.426	0.563	0.701
0.289	0.427	0.561	0.829
0.288	0.461	0.559	0.999
0.287	0.467	0.559	0.818
0.286	0.451	0.558	0.999
0.288	0.427	0.557	0.999
0.289	0.427	0.557	0.819
0.289	0.427	0.558	0.819
0.288	0.445	0.561	0.818
0.289	0.448	0.562	0.820
0.288	0.431	0.562	0.999
0.290	0.426	0.561	0.999
0.288	0.426	0.559	0.818
0.288	0.426	0.557	0.999
0.289	0.444	0.560	0.817
0.289	0.448	0.561	0.819
0.288	0.425	0.562	0.819
0.288	0.398	0.561	0.818
0.288	0.426	0.562	0.819
0.289	0.431	0.561	0.999
0.288	0.427	0.561	0.821
0.288	0.427	0.562	0.820
0.288	0.407	0.562	0.999
0.288	0.397	0.562	0.999
0.288	0.398	0.562	0.999
0.288	0.548	0.562	0.821
0.288	0.520	0.561	0.821
0.288	0.460	0.561	0.821
0.288	0.440	0.559	0.999
0.290	0.428	0.562	0.821
0.288	0.414	0.561	0.999
0.287	0.398	0.561	0.999
0.287	0.456	0.557	0.821
0.288	0.469	0.557	0.999
0.288	0.452	0.563	0.999
0.288	0.427	0.566	0.822
0.288	0.410	0.562	0.999
0.288	0.398	0.562	0.999
0.289	0.423	0.561	0.822
0.288	0.426	0.561	0.999
0.288	0.409	0.557	0.822
0.286	0.399	0.559	0.999
0.286	0.397	0.562	0.999
0.288	0.397	0.562	0.823
0.288	0.398	0.558	0.999
0.287	0.398	0.557	0.823
0.287	0.398	0.558	0.999
0.288	0.398	0.561	0.999
0.289	0.398	0.559	0.824
0.288	0.398	0.560	0.999
0.288	0.422	0.559	0.999
